Name,Location,Species,Gender,Affiliations,Weapon,Vehicle
Darth Vadar,"Death Star, Tatooine",Human,Male,Sith,Lightsaber,Tiefighter
Chewbacca,kashyyk,Wookie,m,Rebel Alliance,Bowcaster,Millennium Falcon
yoda,Yoda's Hutt,Unknown,Male,Jedi Order,Lightsaber,
Sheev Palpatine,Naboo,Human,Male,Galactic Republic,Lightsaber,
Princess Leia,Alderaan,Human,Female,"Rebel Alliance, Galactic Republic",Blaster Pistol,
jabba the Hutt,Tatooine,Hutt,Male,Hutt Clan,,Jabba's Sale Barge
Kylo Ren,chandrila,Human,Male,First Order,Lightsaber,
Obi-Wan Kenobi,Stewjon,Human,M,Jedi Order,Lightsaber,Jedi Starfighter
luke skywalker,Tatooine,Human,M,"Rebel Alliance, Jedi Order",Lightsaber~!@@@,X-wing Starfighter
Jar Jar Binks,Naboo,Gungan,Male,"Galactic Republic, Gungan Grand Army",Energy Ball,Gungan Bongo Submarine
R2-D2,Naboo,Astromech Droid,Other,"Rebel Alliance, Galactic Republic",,X-wing Starfighter
Han Solo,Corellia,Human,Male,Rebel Alliance,Blaster Pistol,Millennium Falcon
Boba Fett,Kamino,Human,m,,Blaster,Slave 1
Rey,Jakku,Human,f,Jedi Order,Lightsaber,Rey's Speeder
padme amidala,naboo,Human,Female,Galactic Republic,,Naboo N-1 Starfigher
C-3PO,Tatooine,Protocol Droid,Other,The Resistance,,-1
Mace Windu,Haruun Kal,Human,Male,Jedi Order,Lightsaber,
Lando calrissian,Cloud City,Human,Male,Rebel Alliance,Blaster Pistol,Millennium Falcon